Date,AAPL,MSFT,GOOGL,AMZN,TSLA,NVDA,BRK.B,UNH,JNJ,V,PG,JPM,XOM,BAC,PFE,HD,MA,KO,DIS,NFLX
9/4/18,0.000478458,0.000628319,-9.54E-05,0.001880203,-0.001978232,0.000533161,0.000100553,0.000655395,-0.000257875,0.00055747,-0.000626107,0.000625906,-0.000164733,0.000688935,0.000459697,0.00064474,0.000986592,-0.000279445,-8.60E-05,0.001538809
10/3/18,0.000762988,0.000616258,-0.00025793,0.001561937,-0.001461967,0.000451303,0.000195346,0.000746204,-0.000159718,0.000420156,-0.000617447,0.000560755,1.23505940595066e-05,0.000487017,0.000545872,0.00034801,0.000752869,-0.000214943,0.000218044,0.001593446
11/1/18,0.0006566,0.000371482,-0.000472279,0.000809799,6.86628698342141e-05,-0.000585741,0.000355973,0.000697871,1.09430573472217e-05,0.000321026,0.000197154,0.000535797,-5.31E-05,0.000253063,0.000810763,0.000210113,0.000479883,0.000149397,0.000503672,0.001054635
12/3/18,-0.000159759,0.000599469,-0.000243902,0.000880102,0.000559217,-0.001175063,0.000521417,0.000720179,0.000193574,0.000484209,0.000224587,0.000475621,4.69477077235153e-05,0.000221256,0.00092099,-7.30E-05,0.0006792,0.000348039,0.000306088,0.001079141
1/4/19,-0.000465891,0.000805553,5.31489223856816e-05,0.001104556,0.000570472,-0.001331985,0.000465743,0.000530734,-8.61E-07,0.000611687,0.000326696,0.000482032,-0.000169531,0.000157093,0.000978717,2.27701144359369e-05,0.000857669,0.000425138,0.000195199,0.001752127
2/5/19,0.000138787,0.00047974,-0.000115147,0.000234884,-3.07E-06,-0.001787929,0.000364731,0.000647633,0.00012152,0.000445654,0.000789786,0.000210877,-3.38E-05,0.000232973,0.000777442,-2.57E-05,0.000655582,0.000400033,0.000214741,0.000909961
3/7/19,-0.000371998,0.000397886,-0.000191301,-0.000203365,-0.000461957,-0.002078181,0.000221182,0.000198478,0.000456724,0.000446289,0.000938349,0.000103955,0.000574826,0.000159052,0.000672648,9.32971052720277e-05,0.000500894,0.000272997,0.000330027,-3.56E-05
4/5/19,-0.000227965,0.000258966,-0.00020208,-6.51E-05,-0.000700073,-0.001384795,0.000113831,2.55013347000638e-05,5.91005750671302e-05,0.00029979,0.001003703,9.13444463354047e-05,0.000464586,0.000247906,0.00058254,0.000273935,0.00030737,0.000171332,0.000287073,-8.63E-05
5/7/19,-0.000332568,0.000345265,-0.000274925,-0.000125616,-0.000933502,-0.001956651,0.000206111,-0.000344083,0.000322717,0.000201693,0.001336312,0.00041024,4.59586000988736e-05,0.000379631,0.000379655,-4.64E-06,0.000202394,0.000452751,0.000917551,-0.000243261
6/6/19,-0.000664686,0.000257115,-0.000915179,-0.00040697,-0.001327303,-0.002441664,0.000247441,-0.000331626,0.000295304,0.00036945,0.001179339,0.000432042,-0.000125345,0.000365183,0.000403059,6.46791369187877e-05,0.000319926,0.00050204,0.00116413,-0.000442422
7/8/19,-0.000465967,0.000320553,-0.000853465,-0.000316595,-0.001240453,-0.00192781,0.000263941,-0.000521551,6.71349948529485e-05,0.000338056,0.000958589,0.000432371,-0.000320551,0.000468834,0.000212775,0.000154641,0.000228739,0.000241075,0.00094431,-0.000923998
8/6/19,-0.000615582,0.000307155,-0.000669666,-0.000493561,-0.001242948,-0.001763074,9.28160283575794e-05,-0.000439107,-0.000254695,0.000361185,0.001096266,0.000276005,-0.000217175,0.000338333,-0.000625465,0.000263143,0.000440067,0.000336792,0.000763179,-0.000720024
9/5/19,-0.000639978,0.00033049,-0.000358081,-0.000780312,-0.000542593,-0.001355035,-0.000175457,-0.000882512,-0.000484316,0.000405989,0.00123126,0.000276006,-0.000332113,0.000248074,-0.000815304,0.000438647,0.000521146,0.000561408,0.000751391,-0.001074927
10/4/19,-0.00016021,0.000405728,-0.000120126,-0.000543731,-0.000236757,-0.001165928,-0.000214345,-0.000829631,-0.00028751,0.000309293,0.001310843,0.000306404,-0.000656318,0.000283315,-0.001000364,0.000494153,0.000355335,0.000449763,0.000344113,-0.001126642
11/4/19,-4.83E-05,0.000432666,0.000132506,-0.000343495,-0.000309908,-0.000398862,-0.000241969,-0.000427439,-0.000630011,0.000216053,0.000679381,0.00044085,-0.000683188,0.000501931,-0.000906242,0.000641899,0.00038455,2.20817864008712e-05,0.000120467,-0.000765112
12/4/19,0.000754825,0.000294253,1.98757064484648e-05,-0.000762612,-0.000325897,0.000439484,-0.000362746,-0.00040909,-0.000544017,0.000103034,0.000695741,0.000663446,-0.000722286,0.000739237,-0.001066621,0.000304899,0.000317381,-3.66E-06,0.000595404,-0.000392547
1/6/20,0.001413454,0.000239382,-0.000338252,-0.000701838,0.00081651,0.000422172,-0.000184597,0.000180417,-8.33E-05,7.47626550083795e-05,0.000459328,0.000591363,-0.000612462,0.000606349,-0.001058961,0.000152797,0.000192656,-3.95E-05,0.000334754,-0.000783058
2/5/20,0.001305247,0.000650102,-0.000188265,-0.000269643,0.002696637,0.000790414,-0.000171038,-2.72E-05,0.000131017,0.000105528,0.000456037,0.000741919,-0.001020773,0.000443373,-0.000782804,0.000316303,9.52648060222913e-05,0.000142863,0.000179801,-0.000873893
3/6/20,0.001509423,0.000542444,-0.000127848,-4.71E-05,0.003576461,0.002125039,4.01864131747262e-05,0.000345531,-0.00027788,-1.96E-05,0.000304468,0.000684551,-0.001644853,0.000323451,-0.000875536,0.000628762,-1.04E-05,0.000326522,-0.000212387,-0.00025638
4/6/20,0.001191872,0.000892819,-0.000168551,-0.000167254,0.00460099,0.00209263,0.000260841,0.000643715,-0.000218999,0.000355694,6.28034379259601e-05,0.001061927,-0.001283732,0.000510228,-0.001157979,0.000384676,0.000363194,-6.66E-05,0.000119967,-6.01E-06
5/6/20,0.001083687,0.000679589,4.54746433288457e-05,-0.000215396,0.00536209,0.001764948,-0.000349308,0.000699173,-0.000246696,0.000445202,-0.000120521,0.000932891,-0.000770206,0.000702681,-0.000454566,0.000803614,0.000427811,-0.000174962,-0.000466467,-0.000319305
6/5/20,0.001486318,0.000457221,0.000441859,0.000461459,0.005806924,0.002483273,-0.000232811,0.000413674,-0.000291141,0.000135059,-0.000122963,0.000700231,-0.000814648,0.000783875,-0.001148617,0.000533027,0.000204671,-0.000336281,-0.000396223,-0.000311641
7/7/20,0.001716265,0.000585439,0.00037709,0.00063875,0.007087375,0.002366081,-0.00046214,0.000278571,-0.000460853,2.17602050634516e-05,-0.000103412,0.000629083,-0.001125757,0.000668645,-0.001280438,0.000289626,0.00010115,-0.000421639,-0.000531395,-0.000144289
8/5/20,0.002080225,0.000373047,-0.000162603,0.001051346,0.00665511,0.002497594,-1.42E-05,0.000231213,-7.55E-05,-0.000213589,0.00015097,0.000414002,-0.001207729,0.000559211,-0.00018597,0.000283728,0.000151622,-0.000439389,-0.000523442,0.000585902
9/3/20,0.002065344,0.000298723,5.89487339949252e-05,0.001133357,0.007801807,0.002386196,0.000169851,0.000620809,1.99718638428947e-05,-0.000245469,-8.71E-07,0.000481046,-0.001575342,0.000572875,-0.000368092,1.58274255059283e-05,-5.39E-05,-0.000427353,-0.000293158,0.000953967
10/5/20,0.001569568,9.39579288182209e-05,-0.000444111,0.000933595,0.007502885,0.002160505,0.000129425,0.000827077,-9.52E-05,-0.000145809,9.79582681187557e-05,0.000620638,-0.00188937,0.000723003,-0.000221532,5.68164515327336e-05,0.00023375,-0.000299809,-0.000258368,0.000925666
11/3/20,0.001129694,0.000151266,2.63339514748633e-05,0.000765327,0.006464327,0.001745643,6.80242059163389e-06,0.000588368,-2.30E-05,-0.00025438,0.000488616,0.000521104,-0.001923796,0.000430023,-0.000313713,0.000103178,-0.000121382,-3.78E-05,-0.000178907,0.000572014
12/3/20,0.001285691,-4.28E-05,0.000117825,0.000977125,0.007429932,0.001591541,0.000147506,8.14583484933045e-05,-5.85E-05,-0.000146447,1.98869664409933e-05,0.000558639,-0.001343919,0.000453095,0.000263645,-0.000150427,3.76909385003192e-05,-5.35E-05,1.09310674441606e-05,0.000427563
1/5/21,0.001105911,-9.75E-05,-0.00018006,0.000768833,0.006874867,0.001086988,0.000112418,3.82101291214877e-05,0.000221769,-7.41E-05,0.000306243,0.000792386,-0.001073533,0.000698319,8.72883472529213e-05,-0.000231088,0.00015872,3.12031826978638e-05,0.000817523,0.00015296
2/4/21,0.001102636,-7.11E-05,0.000325393,0.000706365,0.005064628,0.001003405,0.000133189,-0.000132172,0.000140352,-0.000478323,5.74578631599815e-05,0.000960407,-0.000569403,0.00073524,3.59873063015704e-06,-0.000414728,-0.000219665,-0.000540388,0.000824251,0.00013388
3/8/21,0.000914216,0.000299892,0.00070287,0.001092748,0.003872419,0.00059727,7.38251567684346e-05,3.72645113358191e-06,0.000108846,-0.000314665,6.23365344544938e-06,0.000637891,0.000139114,0.000666497,-1.81E-06,-0.000735744,0.000109529,-0.000695608,0.001222135,0.000439691
4/7/21,0.000858507,2.87996690329033e-05,0.000834951,0.000788013,0.004504337,0.000754521,-2.35E-05,0.000546909,-9.39E-05,-0.000725789,5.27985152478283e-05,0.000294743,-0.000722589,0.000240975,-0.000265259,0.000564202,-0.000805171,-0.000619904,0.000609107,0.000754487
5/6/21,0.000628546,-4.62E-05,0.000760268,0.000361763,0.003741894,0.001100321,0.000472064,0.000332458,-0.00016598,-0.00055152,0.000176856,0.000128427,-0.000896911,-3.69E-06,-0.000226919,0.000558693,-0.00066995,-0.000395611,0.000420962,-1.17E-05
6/7/21,0.000559409,0.000277355,0.000971794,0.000320526,0.003308791,0.001531232,0.000390177,0.000312569,-2.90E-05,-0.000501877,0.000350022,0.000190476,-0.000866571,8.93718034221856e-05,0.000176958,6.41680826984267e-05,-0.000763238,-0.000142905,0.000170445,0.000287759
7/7/21,0.000394869,8.16402251843439e-05,0.000793095,5.32803720096511e-05,0.001539882,0.001594945,0.00037522,0.000517214,9.77929246351043e-05,-0.000548978,0.00014877,0.0002109,-0.00053999,0.000144825,0.000374878,0.000312445,-0.000879015,-0.000125606,0.000217945,-0.000162568
8/5/21,-7.01E-05,0.000255219,0.001229356,-0.000592141,0.002136598,0.001282424,9.94451634221407e-05,0.000426308,0.00011626,-0.000368825,-3.69E-06,0.000284343,-0.000422667,1.25316132426465e-05,0.000472362,0.000187589,-0.001009486,3.42891421177598e-05,7.24314164690684e-05,-0.000183906
9/3/21,-0.000136552,0.000485575,0.00116979,-0.000582824,0.000774923,0.001245287,-8.16E-05,0.000600204,0.000207573,-0.000773567,7.35778065890614e-06,0.000290207,-0.000212542,0.000178004,0.00094465,0.000137284,-0.001438402,-0.000108667,2.33036796601568e-05,0.000200051
10/5/21,8.35336367440729e-05,0.000786541,0.001526273,-0.000217446,0.001866779,0.001308914,-0.000230704,0.000283515,-0.000132872,-0.000684871,-0.000128738,0.000231417,0.000405561,0.000212766,0.000492099,0.000116769,-0.001391887,-0.000351781,-7.08E-05,0.000917872
11/3/21,5.68407050811963e-05,0.001054032,0.000989682,-0.000293882,0.00304194,0.001820147,-0.000153373,0.00060555,0.000187072,-0.001054548,-0.000126101,-2.26E-05,0.000480886,0.00042656,0.000722861,0.000429577,-0.001408237,-0.000182017,-0.000430074,0.001024316
12/3/21,0.00061717,0.001269266,0.00106015,-3.56E-05,0.002361684,0.003034397,-0.000316141,0.000370342,-2.55E-05,-0.001121341,3.1150022550995e-05,-0.000219402,0.000395744,0.000154098,0.001277522,0.00112927,-0.00120616,-0.000403472,-0.001077957,0.000698682
